Cement Brand,Specific weight of cement,Dry specific weight of fine aggregate,Fineness module of fine aggregate,Dry specific weight of coarse aggregate,Fineness module of coarse aggregate,Nominal maximum size,Slump,Cement weight,Fine aggregate weight,Coarse aggregate weight,Water weight,Concrete strenght at 28 days
YURA IP,2810,2410,2.64,2660,6.09,0.5,4,342.82,695.24,926.63,216,212.1666667
YURA IP,2810,2410,2.64,2680,6.48,0.75,3.8,325.96,634.89,1060.77,205,224.86
YURA IP,2810,2410,2.64,2660,6.09,0.5,3.3,387.78,656.61,926.63,216,265.3066667
YURA IP,2810,2410,2.64,2680,6.48,0.75,3.1,368.11,598.68,1060.77,205,272.79
YURA IP,2810,2410,2.64,2660,6.09,0.5,2.3,463.65,591.43,926.63,216,323.3933333
YURA IP,2810,2410,2.64,2680,6.48,0.75,2.2,441.17,535.91,1060.77,205,330.83
YURA IP,2810,2680,2.82,2700,6.22,0.5,2.25,386.819,780.174,891.585,216,240.65
YURA IP,2810,2680,2.82,2700,6.22,0.5,6,401.826,960.366,751.615,220.42,243.19
YURA IP,2810,2680,2.82,2700,6.22,0.5,2.75,441.18,778.179,771.298,242.008,250.3
YURA IP,2810,2680,2.82,2700,6.22,0.5,2.75,402.038,784.5,879.757,229.174,240.64
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,3.5,386.819,821.097,891.585,216,451.83
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,3.25,401.826,984.26,770.315,220.42,525.2
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,9.5,441.18,889.84,705.979,242.008,488.05
WARI TIPO I,3610,2680,2.82,2700,6.22,0.5,8,402.038,784.5,879.757,229.174,461.03
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,2,386.819,784.092,891.585,216,295.27
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,1,401.826,962.645,753.398,220.42,289.47
MISHKY IP,2840,2680,2.82,2700,6.22,0.5,5,441.18,788.828,765.068,242.008,280.79
